I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00410319,A,,004,10,319,ALFA ROMEO,STELVIO 200CV,TODO TERRENO,77120000,65550000,59000000,53100000,47790000,43010000,38710000,,,,,,,,,,,,,,,,,,
I,00410318,A,,004,10,318,ALFA ROMEO,STELVIO 280CV SUPER,TODO TERRENO,96450000,81980000,73780000,66410000,59760000,53790000,48410000,43570000,,,,,,,,,,,,,,,,,
I,00410329,A,,004,10,329,ALFA ROMEO,STELVIO QUADRIFOGLIO,TODO TERRENO,287990000,244800000,220320000,198280000,178460000,,,,,,,,,,,,,,,,,,,,
I,00410330,A,,004,10,330,ALFA ROMEO,STELVIO VELOCE,TODO TERRENO,96450000,81980000,73780000,66410000,59760000,53790000,48410000,43570000,,,,,,,,,,,,,,,,,
I,00405251,A,,004,05,251,ALFA ROMEO,T.SPARK 1.6 146,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,1060000,1040000
I,00421084,A,,004,21,084,ALFA ROMEO,T_SPARK 16V SPIDER,COUPE,,,,,,,,,,,,,,,,,,,,,,,,17170000,16310000
I,00426200,A,,004,26,200,ALFA ROMEO,VELOCE SPIDER,DESCAPOTABLE,,,,,,,,,,,,,,24270000,23060000,21900000,20810000,19670000,,,,,,,
I,C9919001,M,,C99,19,001,APPIA,ANDINA 110,MOTOCICLETA,,,,,,,,,,,,,,23100,20900,18600,17200,,,,,,,,
N,0505007,M,050,50,19,07,APPIA,BERAKA 125,MOTOCICLETA,,,,,,,,,,,,,29100,26100,23100,19300,17900,,,,,,,,
I,C9919007,M,,C99,19,007,APPIA,BERAKA 125,MOTOCICLETA,,,,,,,,,,,,,29100,26100,23100,19300,17900,,,,,,,,
N,0505006,M,050,50,19,06,APPIA,BLESS 150,MOTOCICLETA,,,,,,,,,,,,,37300,34300,31300,27900,25800,,,,,,,,
N,0505011,M,050,50,19,11,APPIA,BREZZA 150,MOTOCICLETA,,,,,68000,62200,56500,51300,46100,41500,37400,33600,30300,27200,24500,22100,,,,,,,,,
I,C9919010,M,,C99,19,010,APPIA,BREZZA 150,MOTOCICLETA,,,,,68000,62200,56500,51300,46100,41500,37400,33600,30300,27200,24500,22100,,,,,,,,,
N,0505014,M,050,50,19,14,APPIA,BREZZA EURO 150,MOTOCICLETA,,,,,68000,62200,56500,51300,46100,41500,37400,33600,30300,27200,24500,22100,,,,,,,,,
I,C9919014,M,,C99,19,014,APPIA,BREZZA EURO 150,MOTOCICLETA,,,,,68000,62200,56500,51300,46100,41500,37400,33600,30300,27200,24500,22100,,,,,,,,,
I,C9919004,M,,C99,19,004,APPIA,CITIPLUS 110,MOTOCICLETA,,,,,,,49100,45000,41000,38800,37300,33500,29800,26100,22400,18600,17200,,,,,,,,
N,0505017,M,050,50,19,17,APPIA,CITIPLUS 110 T,MOTOCICLETA,,,,,,,49100,45000,41000,38800,37300,33500,29800,26100,22400,18600,17200,,,,,,,,
N,0505001,M,050,50,19,01,APPIA,CITIPLUS110,MOTOCICLETA,,,,,,,49100,45000,41000,38800,37300,33500,29800,26100,22400,18600,17200,,,,,,,,
I,C9919003,M,,C99,19,003,APPIA,DCN 110,MOTOCICLETA,,,,,,,,,,,,,,,,18600,17200,,,,,,,,
N,0505004,M,050,50,19,04,APPIA,GEREMY 125,MOTOCICLETA,,,,,,,,,,,,32800,29800,26800,23900,20800,19300,,,,,,,,
I,C9919008,M,,C99,19,008,APPIA,GEREMY 125,MOTOCICLETA,,,,,,,,,,,,32800,29800,26800,23900,20800,19300,,,,,,,,
N,0505010,M,050,50,19,10,APPIA,HARDWIND 200,MOTOCICLETA,,,,,86000,78800,71700,65300,58800,52900,47600,42800,38600,34700,31200,28100,,,,,,,,,
N,0505012,M,050,50,19,12,APPIA,LEYENDA 150,MOTOCICLETA,,,,,57300,52700,47900,43500,39100,35200,31700,28500,25700,23100,20800,18700,,,,,,,,,
I,C9919015,M,,C99,19,015,APPIA,LEYENDA 150,MOTOCICLETA,,,,,57300,52700,47900,43500,39100,35200,31700,28500,25700,23100,20800,18700,,,,,,,,,
N,0505009,M,050,50,19,09,APPIA,MONTERO 150,MOTOCICLETA,,,,,,,,,,,,,35800,32800,29800,26500,24400,22200,,,,,,,
I,C9919005,M,,C99,19,005,APPIA,MONTERO 150,MOTOCICLETA,,,,,,,,,,,,,35800,32800,29800,26500,24400,22200,,,,,,,
N,0505008,M,050,50,19,08,APPIA,REGIA 125,MOTOCICLETA,,,,,,,,,,,,,29800,27600,25300,22200,20100,18800,,,,,,,
I,C9919006,M,,C99,19,006,APPIA,REGIA 125,MOTOCICLETA,,,,,,,,,,,,,29800,27600,25300,22200,20100,18800,,,,,,,
I,C9918006,M,,C99,18,006,APPIA,REGIA 125,SCOOTER,,,,,,,,,,,,,29800,27600,25300,22200,20100,18800,,,,,,,
N,0505013,M,050,50,19,13,APPIA,STRONGER 150,MOTOCICLETA,,,,,74500,68500,62200,56600,51000,45900,41300,37200,33400,30100,27100,24400,,,,,,,,,
I,C9919009,M,,C99,19,009,APPIA,STRONGER 150,MOTOCICLETA,,,,,74500,68500,62200,56600,51000,45900,41300,37200,33400,30100,27100,24400,,,,,,,,,
N,0505016,M,050,50,19,16,APPIA,STRONGER 250,MOTOCICLETA,,,,,151500,138700,126100,114700,103200,92900,,,,,,,,,,,,,,,
N,0505002,M,050,50,19,02,APPIA,VECTRA 110,MOTOCICLETA,,,,,,,,,,,34400,32800,29800,26800,23900,20100,17200,,,,,,,,
I,C9919002,M,,C99,19,002,APPIA,VECTRA 110,MOTOCICLETA,,,,,,,,,,,34400,32800,29800,26800,23900,20100,17200,,,,,,,,
N,0505018,M,050,50,19,18,APPIA,VECTRA 110 N,MOTOCICLETA,,,,,,,,,,,34400,32800,29800,26800,23900,20100,17200,,,,,,,,
N,0687501,M,068,75,18,01,APRILIA,APRILIA SR 160,MOTONETA / SCOOTER,3450000,2530000,2481000,2363000,,,,,,,,,,,,,,,,,,,,,
I,30119058,M,,301,19,058,APRILIA,DORSODURO 900,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,30119052,M,,301,19,052,APRILIA,RSV4 RF,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,30119051,M,,301,19,051,APRILIA,RSV4 RR,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,30119057,M,,301,19,057,APRILIA,SHIVER 900,MOTOCICLETA,,,,,12600000,11340000,10395000,9450000,,,,,,,,,,,,,,,,,
N,0457501,M,045,75,19,01,APRILIA,STX150,MOTOCICLETA,,,,,,,945000,850500,787500,,,,,,,,,,,,,,,,
I,30119066,M,,301,19,066,APRILIA,TUAREG 660,MOTOCICLETA,22295000,17980000,16182000,,,,,,,,,,,,,,,,,,,,,,
I,30119059,M,,301,19,059,APRILIA,TUONO V4 1100 FACTORY,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,30119060,M,,301,19,060,APRILIA,TUONO V4 1100 RR,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,30119053,M,,301,19,053,APRILIA,TUONO V4 FACTORY,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,30119054,M,,301,19,054,APRILIA,TUONO V4 RR,MOTOCICLETA,,,,,,,11025000,10080000,9450000,,,,,,,,,,,,,,,,
I,94807033,M,,948,07,033,ARCTIC CAT,300,CUATRICICLO,,,,,,,,,1774500,1638000,1501500,,,,,,,,,,,,,,
I,94807064,M,,948,07,064,ARCTIC CAT,ALTERRA 450,CUATRICICLO,,,,,,,,2184000,2047500,1911000,,,,,,,,,,,,,,,
I,94807850,M,,948,07,850,ARCTIC CAT,DVX300,CUATRICICLO,,,,,,,,,1774500,1638000,,,,,,,,,,,,,,,
I,94884854,A,,948,84,854,ARCTIC CAT,WILDCAT TRAIL XT,ARENERO,,,,,,,,,,,,17980000,17081000,16227000,15416100,14644700,,,,,,,,,
I,94884852,A,,948,84,852,ARCTIC CAT,WILDCAT X,ARENERO,,,,,,,,,3412500,2730000,2457000,,,,,,,,,,,,,,
I,94807856,M,,948,07,856,ARCTIC CAT,XR 500,CUATRICICLO,,,,,,,,,1774500,1638000,,,,,,,,,,,,,,,
I,00110024,A,,001,10,024,ARO,10 SPARTANA,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,,373200,367700,362200
I,00111018,A,,001,11,018,ARO,10.0,PICK-UP,,,,,,,,,,,,,,,,,,,,,,,373200,367700,362200
I,00110001,A,,001,10,001,ARO,10.1,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,,373200,367700,362200
I,00110019,A,,001,10,019,ARO,10.2,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,,373200,367700,362200
I,00110020,A,,001,10,020,ARO,10.3,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,,373200,367700,362200
I,00110002,A,,001,10,002,ARO,10.4,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,384200,378700,373200,367700
I,00111004,A,,001,11,004,ARO,10.8,PICK-UP,,,,,,,,,,,,,,,,,,,,,,,384200,378700,373200
I,00111005,A,,001,11,005,ARO,10.9,PICK-UP,,,,,,,,,,,,,,,,,,,,,,,384200,378700,373200
I,00110005,A,,001,10,005,ARO,10.9,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,,384200,378700,373200
I,00715027,A,,007,15,027,ASIA,AM 825,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,769600,752200,740200
I,00715041,A,,007,15,041,ASIA,BUS DLX 25 AS.,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,769600,752200,740200
I,00715030,A,,007,15,030,ASIA,COMBI,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,769600,752200,740200
I,00715003,A,,007,15,003,ASIA,COMBI AM 825,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,769600,752200,740200
I,00710031,A,,007,10,031,ASIA,R2 VAN,TODO TERRENO,,,,,,,,,,,,,,,,,,,,,,,,,687900
I,00715008,A,,007,15,008,ASIA,TOPIC,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,,687900
I,00715006,A,,007,15,006,ASIA,TOPIC 12C,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,,687900
I,00715021,A,,007,15,021,ASIA,TOPIC 15C DLX,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00715022,A,,007,15,022,ASIA,TOPIC 15C EST,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00713004,A,,007,13,004,ASIA,TOPIC 3V,FURGON,,,,,,,,,,,,,,,,,,,,,,,,,673800
I,00715004,A,,007,15,004,ASIA,TOPIC 3V,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00715009,A,,007,15,009,ASIA,TOPIC AM 725 12C DLX,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,,687900
I,00734026,A,,007,34,026,ASIA,TOPIC AM715 STD,SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,691900,683900
I,00715007,A,,007,15,007,ASIA,TOPIC AM725,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00734017,A,,007,34,017,ASIA,TOPIC AM-725 15C-DLX,SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00734016,A,,007,34,016,ASIA,TOPIC AM-725/15C-DLX,SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00715042,A,,007,15,042,ASIA,TOPIC DLX,TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00715024,A,,007,15,024,ASIA,TOPIC J2 TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,,695900,691900
I,00734025,A,,007,34,025,ASIA,TOWER A111 SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712014,A,,007,12,014,ASIA,TOWNER FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00713014,A,,007,13,014,ASIA,TOWNER FURGON,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00711014,A,,007,11,014,ASIA,TOWNER PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00734014,A,,007,34,014,ASIA,TOWNER SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00713002,A,,007,13,002,ASIA,TOWNER A111 DLX FURGON,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00734013,A,,007,34,013,ASIA,TOWNER A114 SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712001,A,,007,12,001,ASIA,TOWNER A114 SDX FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00734012,A,,007,34,012,ASIA,TOWNER A114/SDX SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712033,A,,007,12,033,ASIA,TOWNER COACH MPI FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712036,A,,007,12,036,ASIA,TOWNER COACH MPI STD FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712011,A,,007,12,011,ASIA,TOWNER COACH SDX FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712029,A,,007,12,029,ASIA,TOWNER COACH STD FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00713039,A,,007,13,039,ASIA,TOWNER DLX MPI FURGON,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00711037,A,,007,11,037,ASIA,TOWNER MPI PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00713034,A,,007,13,034,ASIA,TOWNER P/VAN MPI FURGON,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00711010,A,,007,11,010,ASIA,TOWNER PICK UP PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,603400,599400
I,00711035,A,,007,11,035,ASIA,TOWNER PICK UP MPI PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,603400,599400
I,00712040,A,,007,12,040,ASIA,TOWNER SDX MPI FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,00712038,A,,007,12,038,ASIA,TOWNER SDX MPI (STD) FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,609400,605400
I,01110330,A,,011,10,330,AUDI,Q2 40 TFSI S TRONIC QUATTTRODO TERRENO,,63660000,45310000,40590000,,,,,,,,,,,,,,,,,,,,,,
I,01122283,A,,011,22,283,AUDI,"A1 1,4 TFSI S TRONIC SEDAN 3 PUERTAS",,,,,,,19810000,17410000,15830000,13770000,12400000,11160000,10040000,9040000,8130000,,,,,,,,,,,
I,01122220,A,,011,22,220,AUDI,A1 1.2 T FSI SEDAN 3 PUERTAS,,,,,,,,,,,11440000,10300000,9270000,8340000,7510000,,,,,,,,,,,
I,01122264,A,,011,22,264,AUDI,A1 1.2 TFSI ATTRACTION MASNEUDAALN 3 PUERTAS,,,,,,,,,,,11440000,10300000,9270000,8340000,7510000,,,,,,,,,,,
I,01122310,A,,011,22,310,AUDI,A1 1.4 TFSI STRONIC SEDAN 3 PUERTAS,,,,,,,19810000,17410000,15830000,13770000,12400000,11160000,10040000,9040000,8130000,,,,,,,,,,,
I,01122204,A,,011,22,204,AUDI,A1 1.4T FSI SEDAN 3 PUERTAS,,,,,,,18490000,15960000,14510000,12620000,11360000,10220000,9200000,8280000,7450000,,,,,,,,,,,
I,01122226,A,,011,22,226,AUDI,A1 1.4T FSI SLINE SEDAN 3 PUERTAS,,,,,,,,,,,15040000,13540000,12180000,10970000,9870000,,,,,,,,,,,
I,01105286,A,,011,05,286,AUDI,A1 SPORTBACK 1.0 TFSI SEDAN 5 PUERTAS,,,,,,,19810000,17410000,15830000,13770000,12400000,11160000,10040000,9040000,8130000,,,,,,,,,,,
I,01105269,A,,011,05,269,AUDI,A1 SPORTBACK 1.4 TFSI AMBSIETDIOANN 5 PUERTAS,,,,,,,19850000,17410000,15830000,13770000,12400000,11160000,10040000,9600000,9100000,,,,,,,,,,,
I,01105314,A,,011,05,314,AUDI,A1 SPORTBACK 1.4 TFSI STROSNEDICAN 5 PUERTAS,,,,,,,,18000000,16360000,14230000,12810000,11530000,10380000,,,,,,,,,,,,,
I,01105342,A,,011,05,342,AUDI,A1 SPORTBACK 30 TFSI STROSNEIDCAN 5 PUERTAS,,39660000,28530000,27610000,27070000,25120000,24020000,,,,,,,,,,,,,,,,,,,
I,01105338,A,,011,05,338,AUDI,A1 SPORTBACK 35 TFSI STROSNEIDCAN 5 PUERTAS,,40160000,31010000,30400000,27870000,25330000,24350000,,,,,,,,,,,,,,,,,,,
I,01105151,A,,011,05,151,AUDI,A3  SPORTBACK 1.9 TDI SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,8600000,7840000,,,,,,,,,
I,01105303,A,,011,05,303,AUDI,A3 1.4 SEDAN 5 PUERTAS,,,,,,,,,,,,,9650000,8690000,7820000,7040000,6330000,5700000,5130000,4620000,4390000,4180000,4060000,3920000,3630000,3390000
I,01122183,A,,011,22,183,AUDI,A3 1.4 T FSI SEDAN 3 PUERTAS,,,,,,,22400000,19710000,17920000,15590000,14030000,12630000,11360000,10230000,9200000,8280000,,,,,,,,,,
I,01102183,A,,011,02,183,AUDI,A3 1.4 T FSI SEDAN 4 PUERTAS,,,,,,,24160000,22100000,20090000,17480000,15730000,14160000,,,,,,,,,,,,,,
I,01122223,A,,011,22,223,AUDI,A3 1.4 T FSI STRONIC SEDAN 3 PUERTAS,,,,,,,24160000,21260000,19330000,16820000,15140000,13620000,12260000,11030000,9930000,8940000,,,,,,,,,,
I,01122305,A,,011,22,305,AUDI,A3 1.4 TFSI MANUAL (150CV)SEDAN 3 PUERTAS,,,,,,,22400000,19710000,17920000,15590000,14030000,12630000,11360000,10230000,9200000,8280000,,,,,,,,,,
I,01122058,A,,011,22,058,AUDI,A3 1.6 SEDAN 3 PUERTAS,,,,,,,,,,,,,9650000,8690000,7820000,7040000,6330000,5700000,5130000,4620000,4390000,4180000,4060000,3920000,3630000,3390000
I,01105058,A,,011,05,058,AUDI,A3 1.6 SEDAN 5 PUERTAS,,,,,,,,,,,,,9650000,8690000,7820000,7040000,6330000,5700000,5130000,4620000,4390000,4180000,4060000,3920000,3630000,3390000
I,01122202,A,,011,22,202,AUDI,A3 1.6 MANUAL SEDAN 3 PUERTAS,,,,,,,,,,,,,9650000,8690000,7820000,7040000,6330000,5700000,5130000,4620000,4390000,4180000,4060000,3920000,3630000,3390000
I,01122037,A,,011,22,037,AUDI,A3 1.8 SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,9410000,,,,,,,,,3920000,3770000
I,01105037,A,,011,05,037,AUDI,A3 1.8 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,9410000,,,,,,,,,3920000,3770000
I,01122039,A,,011,22,039,AUDI,A3 1.8 T SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,5280000,4980000,4680000,4370000,4070000
I,01105039,A,,011,05,039,AUDI,A3 1.8 T SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,5730000,5430000,5130000,4830000,4520000,4220000
I,01122155,A,,011,22,155,AUDI,A3 1.8 T FSI SEDAN 3 PUERTAS,,,,,,,,,21380000,18600000,16740000,15070000,13560000,11010000,10100000,9200000,8450000,,,,,,,,,
I,01102155,A,,011,02,155,AUDI,A3 1.8 T FSI SEDAN 4 PUERTAS,,,,,,,,,22660000,19720000,17740000,15970000,,,,,,,,,,,,,,
I,01122254,A,,011,22,254,AUDI,A3 1.8 T FSI QUATTRO SEDAN 3 PUERTAS,,,,,,,,,25650000,22320000,20090000,18080000,16270000,,,,,,,,,,,,,
I,01102254,A,,011,02,254,AUDI,A3 1.8 T FSI QUATTRO SEDAN 4 PUERTAS,,,,,,,,,26940000,23430000,21090000,18980000,,,,,,,,,,,,,,
I,01122067,A,,011,22,067,AUDI,A3 1.8T QUATTRO SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,5380000,5130000
I,01122038,A,,011,22,038,AUDI,A3 1.9 TDI SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,5430000,5280000,4830000,4520000,4220000,4070000
I,01105038,A,,011,05,038,AUDI,A3 1.9 TDI SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,5730000,5430000,5130000,4830000,4520000,4220000
I,01122096,A,,011,22,096,AUDI,A3 2.0 FSI SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,8750000,7840000,7060000,6350000,5720000,5430000,5160000,,,,
I,01105141,A,,011,05,141,AUDI,A3 2.0 T SEDAN 5 PUERTAS,,,,,,,,23030000,17370000,,,,11920000,10720000,9650000,8690000,7820000,7040000,6330000,5700000,,,,,,
I,01122093,A,,011,22,093,AUDI,A3 2.0 TDI SEDAN 3 PUERTAS,,,,,,,,,,,,,,10560000,9500000,8550000,7700000,6930000,6230000,5610000,5330000,5060000,,,,
I,01105093,A,,011,05,093,AUDI,A3 2.0 TDI SEDAN 5 PUERTAS,,,,,,,,,,,,,,10560000,9500000,8550000,7700000,6930000,6230000,5610000,5330000,5060000,,,,
I,01122193,A,,011,22,193,AUDI,A3 2.0 TDI MANUAL SEDAN 3 PUERTAS,,,,,,,,,,,,,,10560000,9500000,8550000,7700000,6930000,6230000,5610000,5330000,5060000,,,,
I,01122109,A,,011,22,109,AUDI,A3 2.0 TDI QUATTRO SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,8450000,7600000,6840000,6160000,,,,,,
I,01105109,A,,011,05,109,AUDI,A3 2.0 TDI QUATTRO SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,8450000,7600000,6840000,6160000,,,,,,
I,01102288,A,,011,02,288,AUDI,A3 2.0 TFSI SEDAN 4 PUERTAS,,,,,,,28330000,24930000,22660000,,,,,,,,,,,,,,,,,
I,01122122,A,,011,22,122,AUDI,A3 2.0T FSI SEDAN 3 PUERTAS,,,,,,,,23030000,17370000,,,,11920000,10720000,9650000,8690000,7820000,7040000,6330000,5700000,,,,,,
I,01122094,A,,011,22,094,AUDI,A3 3.2 V6 QUATTRO SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,9650000,8690000,7820000,7430000,7060000,,,,
I,01126216,A,,011,26,216,AUDI,A3 CABRIO 1.8 T FSI DESCAPOTABLE,,,,,,,,,,,19000000,17100000,15390000,13850000,12470000,,,,,,,,,,,
I,01102277,A,,011,02,277,AUDI,A3 SEDAN 1.4 TFSI S-TRONICSEDAN 4 PUERTAS,,,,,,,24160000,22100000,20090000,17480000,15730000,14160000,,,,,,,,,,,,,,
I,01102312,A,,011,02,312,AUDI,A3 SEDAN 2.0TFSI S-TRONIC SEDAN 4 PUERTAS,,,,,,,28330000,24930000,22660000,,,,,,,,,,,,,,,,,
I,01102383,A,,011,02,383,AUDI,A3 SEDAN 35 TFSI SEDAN 4 PUERTAS,,55590000,39430000,37880000,36180000,33440000,31420000,,,,,,,,,,,,,,,,,,,
I,01102324,A,,011,02,324,AUDI,A3 SEDAN 35 TFSI S TRONIC SEDAN 4 PUERTAS,,55590000,39430000,37880000,36180000,33440000,31420000,,,,,,,,,,,,,,,,,,,
I,01102323,A,,011,02,323,AUDI,A3 SEDAN 40 TFSI S TRONIC SEDAN 4 PUERTAS,,59770000,44140000,40980000,38820000,35820000,33610000,,,,,,,,,,,,,,,,,,,
I,01105182,A,,011,05,182,AUDI,A3 SPORTBACK 1.4 T FSI SEDAN 5 PUERTAS,,,,,,,22960000,21370000,19390000,16820000,15100000,13550000,11650000,10490000,9440000,8490000,,,,,,,,,,
I,01105219,A,,011,05,219,AUDI,A3 SPORTBACK 1.4 TFSI STROSNEDICAN 5 PUERTAS,,,,,,,24730000,21760000,19780000,17210000,15490000,13940000,12550000,11290000,10160000,9150000,,,,,,,,,,
I,01105098,A,,011,05,098,AUDI,A3 SPORTBACK 1.6 SEDAN 5 PUERTAS,,,,,,,,,,,,,9950000,8960000,8060000,7260000,6530000,5880000,5290000,4760000,4340000,,,,,
I,01105186,A,,011,05,186,AUDI,A3 SPORTBACK 1.6 MANUALSEDAN 5 PUERTAS,,,,,,,,,,,,,9950000,8960000,8060000,7260000,6530000,5880000,5290000,4760000,4340000,,,,,
I,01105185,A,,011,05,185,AUDI,A3 SPORTBACK 1.6 MANUALS SETDDAN 5 PUERTAS,,,,,,,,,,,,,9950000,8960000,8060000,7260000,6530000,5880000,5290000,4760000,4340000,,,,,
I,01105181,A,,011,05,181,AUDI,A3 SPORTBACK 1.6 S-TRONICSEDAN 5 PUERTAS,,,,,,,,,,,,,,,8600000,7740000,6960000,6270000,5640000,5080000,4820000,,,,,
I,01105152,A,,011,05,152,AUDI,A3 SPORTBACK 1.8 T FSI SEDAN 5 PUERTAS,,,,,,,,,22230000,19340000,17410000,15670000,14100000,10860000,9800000,8900000,7990000,,,,,,,,,
I,01105260,A,,011,05,260,AUDI,A3 SPORTBACK 1.8 TFSI QUASTETDRAON 5 PUERTAS,,,,,,,,,26510000,23060000,20760000,18680000,16810000,,,,,,,,,,,,,
I,01105100,A,,011,05,100,AUDI,A3 SPORTBACK 2.0 FSI SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,8450000,7690000,6920000,6230000,5610000,5330000,,,,,
I,01105115,A,,011,05,115,AUDI,A3 SPORTBACK 2.0 T FSI SEDAN 5 PUERTAS,,,,,,,27920000,23890000,21490000,,,,12970000,11670000,10510000,9460000,8510000,7660000,6890000,6200000,,,,,,
I,01105099,A,,011,05,099,AUDI,A3 SPORTBACK 2.0 TDI SEDAN 5 PUERTAS,,,,,,,,,,,,,13730000,12350000,11120000,10010000,9010000,8100000,7290000,6560000,6240000,,,,,
I,01105190,A,,011,05,190,AUDI,A3 SPORTBACK 2.0 TDI MANUSEADLAN 5 PUERTAS,,,,,,,,,,,,,13730000,12350000,11120000,10010000,9010000,8100000,7290000,6560000,6240000,,,,,
I,01105237,A,,011,05,237,AUDI,A3 SPORTBACK 2.0 TDI S-TROSNEDICAN 5 PUERTAS,,,,,,,,,,,19000000,17100000,15390000,13850000,12470000,11220000,10100000,9090000,8180000,7360000,6990000,,,,,
I,01105191,A,,011,05,191,AUDI,A3 SPORTBACK 2.0 TFSI MANSUEADLAN 5 PUERTAS,,,,,,,27920000,23890000,21490000,,,,12970000,11670000,10510000,9460000,8510000,7660000,6890000,6200000,,,,,,
I,01105313,A,,011,05,313,AUDI,A3 SPORTBACK 2.0 TFSI S-TRSOENDIACN 5 PUERTAS,,,,,,,27950000,24590000,22360000,,,,,,,,,,,,,,,,,
